# Tag name          ;  color
satelite            ; #c0c0c0
Broadcast FM        ; #c0c0c0
ham 2M              ; #c0c0c0
ham 220             ; #c0c0c0
Public Safety       ; #c0c0c0
Aviation            ; #c0c0c0
ham 440             ; #c0c0c0

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
    92500000; Alt 92.5                 ; WFM (stereo)        ;     160000; Broadcast FM
    95700000; WZID                     ; WFM (stereo)        ;     196000; Broadcast FM
    96500000; The Mill                 ; WFM (stereo)        ;     196000; Broadcast FM
   101100000; Rock 101                 ; WFM (stereo)        ;     160000; Broadcast FM
   106300000; Frank FM                 ; WFM (stereo)        ;     160000; Broadcast FM
   107300000; WAAF                     ; WFM (stereo)        ;     130000; Broadcast FM
   124900000; Boston Approach/Depart   ; AM                  ;      10000; Aviation
   125100000; Nashua WX                ; AM                  ;      10000; Aviation
   131550000; ACARS                    ; AM                  ;      20000; Aviation
   133200000; Nashua Tower             ; AM                  ;      10000; Aviation
   137100000; NOAA - 19                ; WFM (mono)          ;      30000; satelite
   137620000; NOAA - 15                ; WFM (mono)          ;      30000; satelite
   137912500; NOAA - 18                ; WFM (mono)          ;      30000; satelite
   144390000; APRS                     ; Narrow FM           ;      10000; Aviation
   145935000; AO-73                    ; WFM (mono)          ;      30000; satelite
   146640000; 146.640                  ; Narrow FM           ;       8000; ham 2M
   146685000; N1QC Bedford             ; Narrow FM           ;      10000; ham 2M
   146730000; N1IMO Hollis             ; Narrow FM           ;      10000; ham 2M
   146790000; N1IMO Pitsfield          ; Narrow FM           ;      10000; ham 2M
   146820000; K1BOS Boston             ; Narrow FM           ;       9800; ham 2M
   146850000; K1CA Derry               ; Narrow FM           ;      10000; ham 2M
   146925000; 146.925                  ; Narrow FM           ;       8000; ham 2M
   146940000; K1PJS Concord            ; Narrow FM           ;      10000; ham 2M
   146955000; WB1GOF Westford          ; Narrow FM           ;      10000; ham 2M
   146970000; W1BIM Paxton Ma.         ; Narrow FM           ;       7000; ham 2M
   147044000; WW1Y Nashua              ; Narrow FM           ;      10000; ham 2M
   147105000; NE1B Hudson              ; Narrow FM           ;      10000; ham 2M
   147135000; W1AKS Goffstown          ; Narrow FM           ;      10000; ham 2M
   147269000; 147.269                  ; Narrow FM           ;       9800; ham 2M
   147330000; N1SM Goffstown           ; Narrow FM           ;      10000; ham 2M
   151250000; Nashua Fire Dispatch     ; Narrow FM           ;       7200; Public Safety
   151460000; APD                      ; Narrow FM           ;      10000; Public Safety
   153890000; Greenville EMS           ; Narrow FM           ;      10000; Public Safety
   153980000; Merrimack Fire 1         ; Narrow FM           ;      10000; Public Safety
   154415000; Merrimack Fire 2         ; Narrow FM           ;      10000; Public Safety
   154430000; 154.430 P25              ; Narrow FM           ;      10000; Public Safety
   155310000; BPD                      ; Narrow FM           ;      10000; Public Safety
   155490000; 155.490 P25              ; Narrow FM           ;      10000; Public Safety
   155500000; Merrimack Police         ; Narrow FM           ;      10000; Public Safety
   162525000; NOAA 162.525             ; Narrow FM           ;      26600; Public Safety
   162658500; NOAA 162.658.5           ; Narrow FM           ;      26600; Public Safety
   223260000; W1DIO Milford            ; Narrow FM           ;      10000; ham 220
   224020000; K1ZQ Amherst             ; Narrow FM           ;      10000; ham 220
   443150000; K1SI Pelham              ; Narrow FM           ;      10000; ham 440
   443400000; W1LO Goffstown           ; Narrow FM           ;      10000; ham 440
   443500000; N1IMO Hollis             ; Narrow FM           ;      10000; ham 440
   444200000; N1OB Merrimack           ; Narrow FM           ;      10000; ham 440
   444300000; KM3T DMR Goffstown       ; Narrow FM           ;      17000; ham 440
   444800000; K1SI Nashua              ; Narrow FM           ;      10000; ham 440
   448825000; N1IMO Nashua             ; Narrow FM           ;       9600; ham 440
   449075000; W1MHL Waltham MA         ; Narrow FM           ;       9600; ham 440
   449375000; N1IMO Peterborough       ; Narrow FM           ;      10000; ham 440
